term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4,meaninglanguage5,meaning5
asegúrate,Asegúrate de tener en cuenta,Verb,imperativo,asegurarse,Pronoun,,,,,,,,,,,,,,,,,zh-cn,确保,,,,,,,,
aseguró,"tienes la culpa, cielo —aseguró a Harry, echándole en",Verb,pretérito perfecto simple,él/ella/ud.,asegurar,asegurarse,,,,,,,,,,,,,,,,zh-cn,肯定，保证,,,,,,,,
asesina,De ladrona a asesina.,Verb,él/ella/ud.,presente,asesinar,Adjective,Noun,verb,noun,adjective,presente,él/ella/ud.,asesinar,,,,,,,,,zh-cn,杀手,,,,,,,,
asesinada,...que tal vez fue asesinada para ocultar su relación...,,,,,,,,,,,,,,,,,,,,,zh-cn,被谋杀,,,,,,,,
asesinadas,"En 2021, 200 personas fueron asesinadas en todo...",,,,,,,,,,,,,,,,,,,,,zh-cn,被谋杀,,,,,,,,
asesinato,Pero el asesinato es solamente el final...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,m.谋杀；谋杀罪,,,,,,,,
asesinatos,"…cápita de crímenes violentos( asesinatos, violaciones, robos y asaltos)…",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,谋杀,,,,,,,,
asesino,la implacable exigencia del asesino: «Si me dais lo,Verb,yo,presente,asesinar,Noun,,,,,,,,,,,,,,,,zh-cn,刺客,,,,,,,,
asesinos,el resto de los asesinos,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,刺客,,,,,,,,
así,"Bueno, es así como le das tiempo",Verb,yo,pretérito perfecto simple,asir,Adverb,Noun,,,,,,,,,,,,,,,zh-cn,这样,,,,,,,,
asiento,había elegido el mejor asiento restante,Verb,yo,presente,asentar,asentarse,asentir,Noun,,,,,,,,,,,,,,en,seat,,,,,,,,
asientos,"habían dormido en los asientos, apretando en el regazo",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,座位,,,,,,,,
asignamos,Mentalmente asignamos nuestros hábitos a los,Verb,presente,nosotros,asignar,,,,,,,,,,,,,,,,,zh-cn,我们分配,,,,,,,,
asignatura,…Kong lo ofrecen como asignatura.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,课程，科目,,,,,,,,
asimilar,a tu cerebro para asimilar el contenido,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,同化,zh-cn,tr.使相似；使同化；一视同仁；吸收；领会；intr-prnl.相似,,,,,,
a sí mismas,…trataban de hacerse cosquillas a sí mismas en las palmas de…,,,,,,,,,,,,,,,,,,,,,zh-cn,自己,,,,,,,,
a simple vista,"Pues así, a simple vista, no sé qué decirte.",,,,,,,,,,,,,,,,,,,,,zh-cn,咋一看，肉眼可见,,,,,,,,
asintió,"El camarero asintió y partió, arrastrando los...",Verb,pretérito perfecto simple,él/ella/ud.,asentir,Noun,verb,noun,pretérito perfecto simple,él/ella/ud.,asentir,,,,,,,,,,,en,asentir vi	(cabecear de arriba abajo) (up and down)	nod⇒ vi,,,,,,,,
así que,"…a partir de ahora, así que elige un sitio que…",,,,,,,,,,,,,,,,,,,,,zh-cn,因此，所以；刚一…就,,,,,,,,
así que sí,"...en Dirección de Empresas, así que sí, sí me gusta mucho...",,,,,,,,,,,,,,,,,,,,,zh-cn,所以是的,,,,,,,,
asiste,...gran corte que me asiste.,Verb,pretérito perfecto simple,él/ella/ud.,presente,tú,asir,asistir,verb,asistir,tú,asir,presente,pretérito perfecto simple,él/ella/ud.,,,,,,,zh-cn,参加，加入,,,,,,,,
asistencia,"en carreteras, a la asistencia a toxicómanos o a",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,援助,zh-cn,assistance,,,,,,
asistenta,"Ángela aprendió a leer, a escribir y a hacer cuentas en...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,助理,,,,,,,,
asistente,...tenemos a un joven asistente.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,助手,,,,,,,,
asociaciones,Las diferentes patronales y asociaciones de la cadena alimentaria,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,协会，团体,,,,,,,,
asociada,asociada al nacimiento de Apolo,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,联系,,,,,,,,
asociado,"...es un concepto muy asociado a España, aunque se...",Verb,yo,pretérito perfecto compuesto,asociar,asociarse,Adjective,verb,adjective,yo,pretérito perfecto compuesto,asociar,asociarse,,,,,,,,,zh-cn,关联的,,,,,,,,
asociado a españa,"...es un concepto muy asociado a España, aunque se practica en...",,,,,,,,,,,,,,,,,,,,,zh-cn,与西班牙有关,,,,,,,,
asociar,"El azul se suele asociar con el frío, en",Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,关联,,,,,,,,
asombrado,"Ron lo miraba asombrado, mientras Harry depositaba sus",Verb,yo,pretérito perfecto compuesto,asombrar,asombrarse,Adjective,,,,,,,,,,,,,,,zh-cn,惊讶,,,,,,,,
asombro,...puso una cara de asombro.,Verb,yo,presente,asombrar,asombrarse,Noun,verb,noun,presente,yo,asombrar,asombrarse,,,,,,,,,zh-cn,惊愕,,,,,,,,
asombrosa,el relato de la asombrosa infancia de Stephen King,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,惊人的,,,,,,,,
asombrosas,...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,惊人的,,,,,,,,
aspecto,"A Malachy le gustó Ángela, y él le gustó a el...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,外貌,,,,,,,,
aspectos,afinar y pulir ciertos aspectos,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,m.外表；面容；脸色；方面,,,,,,,,
astronauta,,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,宇航员,,,,,,,,
astronautas,Eran Laura y Juan astronautas,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,宇航员,,,,,,,,
asume,"se enfada menos, uno asume que la vida tiene",Verb,él/ella/ud.,presente,asumir,,,,,,,,,,,,,,,,,zh-cn,承担,zh-cn,假设,,,,,,
asumiendo,"...o viceversa, normalmente imagina —asumiendo que piensa en ello...",Verb,gerundio,asumir,verb,gerundio,asumir,,,,,,,,,,,,,,,zh-cn,假设,,,,,,,,
asumiendo que,"se resumen los capítulos, asumiendo que la estructura es idéntica",,,,,,,,,,,,,,,,,,,,,zh-cn,假设,,,,,,,,
asumimos,Si asumimos que el límite máximo,Verb,presente,nosotros,asumir,,,,,,,,,,,,,,,,,zh-cn,我们假设,,,,,,,,
asumió,"era imposible, así que asumió que se le había",Verb,pretérito perfecto simple,él/ella/ud.,asumir,,,,,,,,,,,,,,,,,zh-cn,假设,,,,,,,,
asumir,Nos asusta menos asumir riesgos,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,承担,,,,,,,,
asunto,cosas que no son asunto tuyo,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,业务,zh-cn,m.事情，主题，生意，手段,,,,,,
asuntos,Qué sabrás tú de asuntos legales como éste?,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,事务,,,,,,,,
asusta,"Se asusta de los alumnos, tiene",Verb,él/ella/ud.,presente,asustar,asustarse,,,,,,,,,,,,,,,,zh-cn,害怕,,,,,,,,
asustada,"Dios Santo —exclamó asustada—, de modo que todo",Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,惊恐地,,,,,,,,
asustado,"propia, y se había asustado mucho más cuando él",Verb,yo,pretérito perfecto compuesto,asustar,asustarse,Adjective,Noun,,,,,,,,,,,,,,zh-cn,害怕,,,,,,,,
asustados,...los hombres llegaban tan asustados a la noche de...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,害怕,,,,,,,,
a su vez,"A su vez, estas se dividen en",,,,,,,,,,,,,,,,,,,,,zh-cn,同时,,,,,,,,
ataca,El virus que ataca las células de un,Verb,él/ella/ud.,presente,atacar,atacarse,,,,,,,,,,,,,,,,zh-cn,攻击,,,,,,,,
atacados,"a ser auditados, escudriñados, atacados",,,,,,,,,,,,,,,,,,,,,zh-cn,攻击,,,,,,,,
atajo,debía de conocer un atajo para llegar a donde,Verb,yo,presente,atajar,atajarse,Noun,,,,,,,,,,,,,,,zh-cn,捷径,,,,,,,,
atajos,"estas páginas no encontrará atajos fáciles, pero los lectores",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,捷径,,,,,,,,
ataque,"...dado al niño para que lo adoptaran, y ahora serías una mujer libre.",Verb,él/ella/ud.,imperativo,subjuntivo presente,atacar,atacarse,Noun,verb,noun,imperativo,atacar,subjuntivo presente,él/ella/ud.,atacarse,,,,,,,zh-cn,进攻,,,,,,,,
ataque cardíaco,...,,,,,,,,,,,,,,,,,,,,,zh-cn,心脏病发作,,,,,,,,
atardecer,"Al atardecer, con el sol muy...",Verb,participio pasado,Noun,verb,noun,participio pasado,,,,,,,,,,,,,,,zh-cn,日落,,,,,,,,
atasco,Otro atasco en la M,Verb,yo,presente,atascar,atascarse,Noun,,,,,,,,,,,,,,,zh-cn,"阻塞, 障碍",,,,,,,,
atascos,…el claxon en los atascos.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,交通堵塞,,,,,,,,
atención,ser el centro de atención de los presentes,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,注意力,,,,,,,,
atento,Estate atento,Verb,yo,presente,atentar,Adjective,,,,,,,,,,,,,,,,zh-cn,注意的，全神贯注的,,,,,,,,
atentos,Lógicamente están muy atentos a que todo vaya...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,细心,,,,,,,,
aterrizamos,Aterrizamos,Verb,presente,nosotros,aterrizar,,,,,,,,,,,,,,,,,zh-cn,我们着陆了,,,,,,,,
atlántico,desde puntos estratégicos del Atlántico,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,大西洋,,,,,,,,
atmósfera,Tal vez la atmósfera hechicera de aquel lugar...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,氛围,,,,,,,,
atmosférico,...tormenta es un fenómeno atmosférico.,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,大气现象,,,,,,,,
atómico,Núcleo atómico,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,原子,,,,,,,,
átomos,de estrellas y de átomos se ha ensanchado más,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,原子,,,,,,,,
atracción,"entusiasmo, la felicidad, la atracción, la creatividad, la determinación",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,吸引力,,,,,,,,
atractivos,"colores, los detalles son atractivos",Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,魅力，诱惑力，有吸引力的，迷人的,,,,,,,,
atrae,sé. Pero no me atrae cocinar una gran comida,Verb,él/ella/ud.,presente,atraer,atraerse,,,,,,,,,,,,,,,,zh-cn,吸引,,,,,,,,
atraer,"...o dirigía PayPal a finales de 1999, estaba aterrado, no porqu...",Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,吸引,,,,,,,,
atraído,"...mí siempre me habían atraído las ciencias, especialmente las...",Verb,yo,pretérito perfecto compuesto,atraer,atraerse,verb,yo,pretérito perfecto compuesto,atraer,atraerse,,,,,,,,,,,zh-cn,被吸引,,,,,,,,
atraídos,"tales individuos se sientan atraídos por los sonidos, y",,,,,,,,,,,,,,,,,,,,,zh-cn,吸引,,,,,,,,
atrapada,...las calles de una Barcelona atrapada bajo cielos de...,,,,,,,,,,,,,,,,,,,,,zh-cn,被困的,,,,,,,,
atrapado,"Horas más tarde, atrapado en el relato, apenas...",Verb,yo,pretérito perfecto compuesto,atrapar,Adjective,Adverb,verb,adjective,yo,adverb,pretérito perfecto compuesto,atrapar,,,,,,,,,zh-cn,被困,en,trap,,,,,,
atrapados,Estaban atrapados,Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,被困,,,,,,,,
atrás,...,Adverb,adverb,,,,,,,,,,,,,,,,,,,zh-cn,后退,,,,,,,,
atravesando,escalera torcida que subía atravesando la casa en zigzag,Verb,gerundio,atravesar,,,,,,,,,,,,,,,,,,zh-cn,穿过,,,,,,,,
atravesar,Tenías que atravesar el camino y entrar...,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,穿过,,,,,,,,
a través de,...el aprendizaje de vocabulario a través de historias.,,,,,,,,,,,,,,,,,,,,,zh-cn,通过,,,,,,,,
atravesó,...el mejor barco y atravesó una tormenta.,Verb,pretérito perfecto simple,él/ella/ud.,atravesar,atravesarse,verb,atravesar,pretérito perfecto simple,él/ella/ud.,atravesarse,,,,,,,,,,,zh-cn,穿过,,,,,,,,
atraviesa,"Papá lo levanta, atraviesa la habitación tambaleándose, lo...",Verb,él/ella/ud.,presente,atravesar,atravesarse,verb,atravesar,presente,él/ella/ud.,atravesarse,,,,,,,,,,,zh-cn,通过,,,,,,,,
atreve,...una res no se atreve a mirarle los ojos...,Verb,él/ella/ud.,presente,atrever,atreverse,verb,atreverse,presente,él/ella/ud.,atrever,,,,,,,,,,,zh-cn,敢,,,,,,,,
atreverá,"el Ministerio no se atreverá a molestarle, señor",Verb,él/ella/ud.,futuro,atrever,atreverse,,,,,,,,,,,,,,,,zh-cn,会敢,,,,,,,,
atrevería,......,Verb,yo,condicional,atrever,atreverse,verb,atreverse,yo,condicional,atrever,,,,,,,,,,,zh-cn,敢,,,,,,,,
atreves,la noche... ¿Cómo te atreves,Verb,presente,tú,atrever,atreverse,,,,,,,,,,,,,,,,zh-cn,敢,,,,,,,,
atrevía,...eso ni siquiera me atrevía a empezar con el...,Verb,yo,indicativo pretérito imperfecto,atrever,atreverse,verb,atreverse,yo,atrever,indicativo pretérito imperfecto,,,,,,,,,,,zh-cn,敢,,,,,,,,
atrevió,Ángela Vicario se atrevió apenas a insinuar el...,Verb,pretérito perfecto simple,él/ella/ud.,atrever,atreverse,verb,atreverse,pretérito perfecto simple,él/ella/ud.,atrever,,,,,,,,,,,zh-cn,敢,,,,,,,,
atrevo,"Y, aun así, me atrevo a decir que las",Verb,yo,presente,atrever,atreverse,,,,,,,,,,,,,,,,zh-cn,敢,,,,,,,,
audible,voz baja pero bastante audible,,,,,,,,,,,,,,,,,,,,,zh-cn,可听见的,,,,,,,,
audiencia,frente a una gran audiencia,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,听众,,,,,,,,
auditiva,Quieres platicar tu comprensión auditiva con este audio? Pues,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,听力,,,,,,,,
auditorio,"…entonces, claro, era un auditorio de",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,听众,,,,,,,,
aumenta,Internet y el porcentaje aumenta a 6 de cada,Verb,él/ella/ud.,presente,aumentar,aumentarse,Adjective,,,,,,,,,,,,,,,zh-cn,增加,,,,,,,,
aumentaba,......,Verb,yo,indicativo pretérito imperfecto,aumentar,aumentarse,verb,aumentar,yo,aumentarse,indicativo pretérito imperfecto,,,,,,,,,,,zh-cn,增加,,,,,,,,
aumentaban,"...fortuna, pues cuanto más aumentaban los planes de la...",Verb,indicativo pretérito imperfecto,ellos/ellas/uds.,aumentar,aumentarse,verb,aumentar,ellos/ellas/uds.,aumentarse,indicativo pretérito imperfecto,,,,,,,,,,,zh-cn,他们增加了,,,,,,,,
aumentada,izquierdo con una función aumentada del córtex posterior,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,增强的,,,,,,,,
aumentado,misterioso mal que había aumentado en los últimos meses,Verb,yo,pretérito perfecto compuesto,aumentar,aumentarse,,,,,,,,,,,,,,,,zh-cn,增加了,,,,,,,,
aumentan,…concha y la oreja aumentan la sensación de estar…,Verb,presente,ellos/ellas/uds.,aumentar,aumentarse,verb,aumentar,presente,ellos/ellas/uds.,aumentarse,,,,,,,,,,,zh-cn,增加,,,,,,,,
aumentando,a nuestras parejas está aumentando desde hace varios años,Verb,gerundio,aumentar,,,,,,,,,,,,,,,,,,zh-cn,提升,,,,,,,,
aumentar,"...común es el poder aumentar la expresividad, dar un...",Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,增加,,,,,,,,
aumente,…sientas bien y así aumente las probabilidades de que…,Verb,él/ella/ud.,imperativo,subjuntivo presente,aumentar,aumentarse,verb,imperativo,aumentar,subjuntivo presente,él/ella/ud.,aumentarse,,,,,,,,,zh-cn,增加,,,,,,,,
aumento,tensión ha ido en aumento entre estos países debido,Verb,yo,presente,aumentar,aumentarse,Noun,,,,,,,,,,,,,,,zh-cn,增加,,,,,,,,
aumentó,—¿Le parece... sensato... c...,Verb,pretérito perfecto simple,él/ella/ud.,aumentar,aumentarse,verb,aumentar,pretérito perfecto simple,él/ella/ud.,aumentarse,,,,,,,,,,,zh-cn,增加,,,,,,,,
aún,que los otros dos aún estarán buscando un buen,Adverb,,,,,,,,,,,,,,,,,,,,zh-cn,adv.还；现在；更加,,,,,,,,
aún así,"Aún así, repito, lo más importante...",,,,,,,,,,,,,,,,,,,,,zh-cn,尽管如此,zh-cn,即使是这样,,,,,,
aún más,…y respuestas para practicar aún más.,,,,,,,,,,,,,,,,,,,,,zh-cn,更进一步,,,,,,,,
ausencia,El negro es la ausencia de luz de un,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,缺乏,,,,,,,,
australia,También lo hablan en Australia y Gibraltar.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,澳大利亚,,,,,,,,
auténtica,...Almodóvar que fueron una auténtica revolución.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,真正的,,,,,,,,
autoconciencia,La pérdida de autoconciencia,,,,,,,,,,,,,,,,,,,,,zh-cn,自我意识,,,,,,,,
autocontrol,El secreto del autocontrol,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,自我控制,,,,,,,,
automática,con fluidez de forma automática y sin esfuerzo,Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,adj.自动的；无意识的；机械的；m.子母扣,,,,,,,,
automáticamente,...los controles sociales cae automáticamente de nuestros hombros.,Adverb,adverb,,,,,,,,,,,,,,,,,,,zh-cn,自动地,,,,,,,,
automáticas,volvieron más rápidas y automáticas,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,自动的,,,,,,,,
automáticos,"Latón, Cobre, Peltre, Plata - Automáticos - Plegables», decía un rótulo",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,自动的,,,,,,,,
automatización,Es la automatización del habla,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,自动化,,,,,,,,
automatizar,para poder asimilar y automatizar los patrones del idioma,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,自动化,,,,,,,,
automóvil,irá al campo en automóvil,Noun,,,,,,,,,,,,,,,,,,,,en,car,,,,,,,,
automóviles,…las chapas de los automóviles.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,汽车,,,,,,,,
autonomía,"Tiene algo menos de autonomía, eso sí",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,自主性的,zh-cn,自主性,,,,,,
autora,Autora: Laura Esquivel,Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,作者,,,,,,,,
autoridad,"nueva y única, ninguna autoridad puede prescribir en términos",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,权力，权限,zh-cn,f.权力，权威，威信；pl.当局,,,,,,
autoridades,del control de las autoridades,Noun,,,,,,,,,,,,,,,,,,,,en,当局,,,,,,,,
avance,......,Verb,él/ella/ud.,imperativo,subjuntivo presente,avanzar,avanzarse,Noun,verb,noun,imperativo,avanzar,subjuntivo presente,él/ella/ud.,avanzarse,,,,,,,zh-cn,进步,,,,,,,,
avancemos,"PREGUNTA Muy bien, avancemos.",Verb,imperativo,nosotros,subjuntivo presente,avanzar,avanzarse,verb,imperativo,avanzar,nosotros,subjuntivo presente,avanzarse,,,,,,,,,zh-cn,我们继续吧,,,,,,,,
avances,…podrían votar... Todos los avances sociales se han hecho…,Verb,tú,subjuntivo presente,avanzar,avanzarse,Noun,verb,noun,tú,avanzar,subjuntivo presente,avanzarse,,,,,,,,,zh-cn,进步,,,,,,,,
avanza,mayoría de la gente avanza para ponerse en fila,Verb,él/ella/ud.,presente,avanzar,avanzarse,Adjective,Noun,,,,,,,,,,,,,,zh-cn,前进,,,,,,,,
avanzaba,"A medida que avanzaba, la estructura del relato...",Verb,yo,indicativo pretérito imperfecto,avanzar,avanzarse,verb,avanzar,yo,avanzarse,indicativo pretérito imperfecto,,,,,,,,,,,zh-cn,我前进,,,,,,,,
avanzada,superficies verticales mediante automatización avanzada,Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,深的，深刻的，进步的，先进的，年老的,,,,,,,,
avanzados,"...solamente para los niveles avanzados,",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,高级,,,,,,,,
avanzan,"pueden ver cómo pasajeros avanzan por los pasillos, con",Verb,presente,ellos/ellas/uds.,avanzar,avanzarse,,,,,,,,,,,,,,,,zh-cn,进步,,,,,,,,
avanzando,"estaban en el coche, avanzando velozmente hacia la autopista",Verb,gerundio,avanzar,,,,,,,,,,,,,,,,,,zh-cn,往前走,,,,,,,,
avanzas,que parece que no avanzas,Verb,presente,tú,avanzar,avanzarse,,,,,,,,,,,,,,,,zh-cn,进步,,,,,,,,
avanzó,"El tráfico avanzó y, unos minutos más",Verb,pretérito perfecto simple,él/ella/ud.,avanzar,avanzarse,,,,,,,,,,,,,,,,zh-cn,前进,,,,,,,,
avenida,"Coge esta avenida, sigue todo recto y…",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,大街,,,,,,,,
aves,"la maestranza de las aves de presas altas, pero",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,鸟类,,,,,,,,
avisado,Han avisado a los Hernández,Verb,yo,pretérito perfecto compuesto,avisar,avisarse,,,,,,,,,,,,,,,,zh-cn,建议,zh-cn,通知,,,,,,
avisar,...importante sobre la puntualidad: Avisar que llegas tarde.,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,警告,,,,,,,,
avisas,Y me avisas en cuanto vuelvan. Esos,Verb,presente,tú,avisar,avisarse,,,,,,,,,,,,,,,,zh-cn,avisas,zh-cn,通知,,,,,,
avise,Emilio para que me avise cuando llegue la mudanza,Verb,él/ella/ud.,imperativo,subjuntivo presente,avisar,avisarse,,,,,,,,,,,,,,,zh-cn,建议,,,,,,,,
ayudante,...leyenda: Un día el ayudante del rey Fernando VII...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,助手,zh-cn,帮手,,,,,,
ayuno,El ayuno es no comer durante...,Verb,yo,presente,ayunar,Noun,verb,noun,presente,yo,ayunar,,,,,,,,,,,zh-cn,禁食,,,,,,,,
ayuntamiento,desde el balcón del Ayuntamiento,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,市政厅,zh-cn,大会堂,,,,,,
bachillerato,…de 2.000 centros de bachillerato dan clases de español…,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,高中,,,,,,,,
bacterias,"animales, los insectos, las bacterias que vivían en la",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,细菌,,,,,,,,
bailan,las luces mágicas que bailan en los candeleros,Verb,presente,ellos/ellas/uds.,bailar,bailarse,,,,,,,,,,,,,,,,zh-cn,他们跳舞,,,,,,,,
bailarín,"encontrará a Felipe, ¡el bailarín más famoso del mundo",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,舞蹈家,zh-cn,舞者,,,,,,
bailarina,...parte donde está la bailarina,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,芭蕾舞演员,,,,,,,,
bailarines,"...además un espectáculo de bailarines, y dos orquestas de...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,"跳舞的；舞蹈演员, 舞蹈家.",,,,,,,,
bajaban,y cada vez que bajaban por debajo de las,Verb,indicativo pretérito imperfecto,ellos/ellas/uds.,bajar,bajarse,,,,,,,,,,,,,,,,zh-cn,下，降；减少；降价,,,,,,,,
bajando,......,Verb,gerundio,bajar,verb,gerundio,bajar,,,,,,,,,,,,,,,zh-cn,下降,,,,,,,,
bajar,"Para bajar la comida, caminasteis por",Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,下去,,,,,,,,
bajar de peso,"...solo es bueno para bajar de peso, también mejora la capacidad...",,,,,,,,,,,,,,,,,,,,,zh-cn,减肥,,,,,,,,
bajársela,Justo. -Iba a bajársela al portero.,,,,,,,,,,,,,,,,,,,,,zh-cn,把它给他,,,,,,,,
bajo,pasar unas cuantas horas bajo el encanto de este,Verb,yo,presente,bajar,bajarse,Adjective,Preposition,,,,,,,,,,,,,,zh-cn,在…之下,,,,,,,,
bajó,cristal hacia arriba y bajó a tierra con su,Verb,pretérito perfecto simple,él/ella/ud.,bajar,bajarse,,,,,,,,,,,,,,,,,,,,,,,,,
bajo control,no tienen sus hábitos bajo control son aquellas que disfrutan,,,,,,,,,,,,,,,,,,,,,zh-cn,尽在掌控,,,,,,,,
bajón,Un bajón similar se ha registrado…,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,下降,,,,,,,,
balance,cantar y hacer el balance de nuestros gastos a,Verb,él/ella/ud.,imperativo,balanzar,Noun,,,,,,,,,,,,,,,,zh-cn,平衡,,,,,,,,
balanza,...pero consiguieron una bonita balanza para pesar los ingredientes...,Verb,él/ella/ud.,presente,balanzar,Noun,verb,noun,presente,él/ella/ud.,balanzar,,,,,,,,,,,zh-cn,秤,,,,,,,,
balcón,queda una doble con balcón,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,m.阳台；（阳台的）栏杆；眺望台,,,,,,,,
ballet,latinoamericanos… Ejecutado como un ballet mítico-antropológico,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,芭蕾,,,,,,,,
baloncesto,"...es una especie de baloncesto, pero con escobas y...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,m.篮球,,,,,,,,
banco,se irguió en el banco del jardín,Verb,yo,presente,bancar,bancarse,Noun,,,,,,,,,,,,,,,zh-cn,长椅,,,,,,,,
banda,...si nos rodea una banda de ladrones?,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,f.条带；绶带，饰带；腰带；条纹；袋装凸起；斜条纹；滑动轨道；波段，频带；橡皮边,zh-cn,一群,zh-cn,团伙,,,,
bandadas,Debo de haber pasado por una docena de ...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,成群,,,,,,,,
baño de burbujas,...tu perro o tomar un baño de burbujas— y luego crea...,,,,,,,,,,,,,,,,,,,,,zh-cn,泡泡浴,,,,,,,,
barba,...sudor seco y una barba del día anterior que...,Verb,él/ella/ud.,presente,barbar,Noun,verb,noun,presente,él/ella/ud.,barbar,,,,,,,,,,,zh-cn,胡子,,,,,,,,
barça,"son El Barcelona, o Barça, y el Madrid",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,巴萨,,,,,,,,
barco,"La gente que tiene barco, puede dejarlo en la",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,m.船，舰,,,,,,,,
barcos,...pájaro le encantaba la hermosa sonrisa de la ballena.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,船,,,,,,,,
bares,…muy típicas en los bares y terrazas.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,酒吧,,,,,,,,
barrera,los toros desde la barrera,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,屏障,,,,,,,,
barrio,"y acabasteis en el barrio de Lavapiés, para tomar",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,社区,,,,,,,,
